"drug","gene"
"DB04583","DHODH"
"DB08172","DHODH"
"DB08008","DHODH"
"DB07976","DHODH"
"DB08169","DHODH"
"DB04147","DHODH"
"DB07646","DHODH"
"DB01097","DHODH"
"DB07975","DHODH"
"DB07561","DHODH"
"DB07978","DHODH"
"DB08249","DHODH"
"DB04281","DHODH"
"DB07559","DHODH"
"DB01117","DHODH"
"DB02262","DHODH"
"DB08006","DHODH"
"DB07977","DHODH"
"DB03805","DHODH"
"DB03523","DHODH"
"DB03480","DHODH"
"DB07443","DHODH"
"DB00114","GOT2"
"DB00128","GOT2"
"DB02783","GOT2"
"DB00142","GOT2"
"DB06717","TACR1"
"DB00715","TACR1"
"DB00673","TACR1"
"DB04894","TACR1"
"DB01221","TACR1"
"DB00069","IFNAR2"
"DB00060","IFNAR2"
"DB00011","IFNAR2"
"DB00068","IFNAR2"
"DB00022","IFNAR2"
"DB00018","IFNAR2"
"DB00105","IFNAR2"
"DB00008","IFNAR2"
"DB00034","IFNAR2"
"DB04786","FSHR"
"DB00066","FSHR"
"DB00097","FSHR"
"DB00094","FSHR"
"DB00032","FSHR"
"DB00133","SRR"
"DB00114","SRR"
"DB00433","DRD4"
"DB01403","DRD4"
"DB00777","DRD4"
"DB00246","DRD4"
"DB00391","DRD4"
"DB01618","DRD4"
"DB00420","DRD4"
"DB01200","DRD4"
"DB04946","DRD4"
"DB00734","DRD4"
"DB01267","DRD4"
"DB00679","DRD4"
"DB01224","DRD4"
"DB00543","DRD4"
"DB00372","DRD4"
"DB00409","DRD4"
"DB00248","DRD4"
"DB05271","DRD4"
"DB00408","DRD4"
"DB00850","DRD4"
"DB00589","DRD4"
"DB01238","DRD4"
"DB00988","DRD4"
"DB00457","DRD4"
"DB00450","DRD4"
"DB00502","DRD4"
"DB00477","DRD4"
"DB01235","DRD4"
"DB00334","DRD4"
"DB00268","DRD4"
"DB00831","DRD4"
"DB04842","DRD4"
"DB01239","DRD4"
"DB00714","DRD4"
"DB06288","DRD4"
"DB01186","DRD4"
"DB04216","DRD4"
"DB00363","DRD4"
"DB01100","DRD4"
"DB04829","DRD4"
"DB00933","DRD4"
"DB00413","DRD4"
"DB06144","DRD4"
"DB00083","SNAP25"
"DB00141","NAGLU"
"DB00160","KYNU"
"DB00114","KYNU"
"DB02343","KYNU"
"DB07069","KYNU"
"DB01465","HTR2B"
"DB01392","HTR2B"
"DB00960","HTR2B"
"DB04842","HTR2B"
"DB00476","HTR2B"
"DB06148","HTR2B"
"DB08653","HTR2B"
"DB06731","HTR2B"
"DB00920","HTR2B"
"DB01238","HTR2B"
"DB00656","HTR2B"
"DB00696","HTR2B"
"DB06288","HTR2B"
"DB01114","HTR2B"
"DB00216","HTR2B"
"DB00434","HTR2B"
"DB00477","HTR2B"
"DB08980","HTR2B"
"DB01142","HTR2B"
"DB06594","HTR2B"
"DB00353","HTR2B"
"DB00935","HTR2B"
"DB01484","HTR2B"
"DB01488","HTR2B"
"DB01509","HTR2B"
"DB00398","HTR2B"
"DB00490","HTR2B"
"DB01516","HTR2B"
"DB00805","HTR2B"
"DB00508","HTR2B"
"DB01186","HTR2B"
"DB04829","HTR2B"
"DB01191","HTR2B"
"DB01446","HTR2B"
"DB00413","HTR2B"
"DB01079","HTR2B"
"DB01065","HTR2B"
"DB01242","HTR2B"
"DB00502","HTR2B"
"DB01200","HTR2B"
"DB00472","HTR2B"
"DB00247","HTR2B"
"DB00574","HTR2B"
"DB00320","HTR2B"
"DB00589","HTR2B"
"DB00734","HTR2B"
"DB00714","HTR2B"
"DB01239","HTR2B"
"DB00481","HTR2B"
"DB00248","HTR2B"
"DB00268","HTR2B"
"DB01454","HTR2B"
"DB02341","ELANE"
"DB04459","ELANE"
"DB00019","ELANE"
"DB07475","ELANE"
"DB00099","ELANE"
"DB00058","ELANE"
"DB03925","ELANE"
"DB01173","GRIN2D"
"DB00142","GRIN2D"
"DB00454","GRIN2D"
"DB01520","GRIN2D"
"DB03147","IVD"
"DB04036","IVD"
"DB00893","FTH1"
"DB03559","ADH1B"
"DB04077","ADH1B"
"DB01213","ADH1B"
"DB03703","ADH1B"
"DB04105","ADH1B"
"DB02721","ADH1B"
"DB01907","ADH1B"
"DB03461","ADH1B"
"DB00157","ADH1B"
"DB00898","ADH1B"
"DB00157","NDUFA7"
"DB01022","GGCX"
"DB00100","GGCX"
"DB01125","GGCX"
"DB00142","GGCX"
"DB00036","GGCX"
"DB00170","GGCX"
"DB00055","GGCX"
"DB00114","ODC1"
"DB03856","ODC1"
"DB01917","ODC1"
"DB02824","ODC1"
"DB04263","ODC1"
"DB04083","ODC1"
"DB00127","ODC1"
"DB02209","ODC1"
"DB00670","CHRM4"
"DB00809","CHRM4"
"DB00363","CHRM4"
"DB00408","CHRM4"
"DB00622","CHRM4"
"DB03128","CHRM4"
"DB00334","CHRM4"
"DB00496","CHRM4"
"DB00340","CHRM4"
"DB00420","CHRM4"
"DB00321","CHRM4"
"DB00810","CHRM4"
"DB00387","CHRM4"
"DB00835","CHRM4"
"DB00540","CHRM4"
"DB00572","CHRM4"
"DB06709","CHRM4"
"DB00747","CHRM4"
"DB00376","CHRM4"
"DB00715","CHRM4"
"DB01062","CHRM4"
"DB00458","CHRM4"
"DB00424","CHRM4"
"DB00767","CHRM4"
"DB01075","CHRM4"
"DB00411","CHRM4"
"DB00777","CHRM4"
"DB00934","CHRM4"
"DB06731","CHRM4"
"DB01069","CHRM4"
"DB01403","CHRM4"
"DB01173","CHRM4"
"DB06702","CHRM4"
"DB00434","CHRM4"
"DB04946","CHRM4"
"DB00785","CHRM4"
"DB01071","CHRM4"
"DB01142","CHRM4"
"DB01036","CHRM4"
"DB01224","CHRM4"
"DB01591","CHRM4"
"DB01625","CHRM4"
"DB04365","CHRM4"
"DB01151","CHRM4"
"DB00472","CHRM4"
"DB00725","CHRM4"
"DB00246","CHRM4"
"DB09000","CHRM4"
"DB00986","CHRM4"
"DB00933","CHRM4"
"DB01238","CHRM4"
"DB01454","CHRM4"
"DB01239","CHRM4"
"DB00734","CHRM4"
"DB08897","CHRM4"
"DB01074","CPT1A"
"DB00583","CPT1A"
"DB03611","MAT1A"
"DB03191","MAT1A"
"DB03431","MAT1A"
"DB00118","MAT1A"
"DB01907","HSD17B4"
"DB00157","HSD17B4"
"DB03192","HSD17B4"
"DB00145","ALAS1"
"DB00114","ALAS1"
"DB00148","CKMT2"
"DB00202","CHRNA10"
"DB00674","CHRNA10"
"DB01116","CHRNA10"
"DB01090","CHRNA10"
"DB00184","CHRNA10"
"DB01161","CHRNA10"
"DB00333","CHRNA10"
"DB07557","RXRA"
"DB00210","RXRA"
"DB08601","RXRA"
"DB07863","RXRA"
"DB00749","RXRA"
"DB08402","RXRA"
"DB00926","RXRA"
"DB08063","RXRA"
"DB00307","RXRA"
"DB00459","RXRA"
"DB01941","RXRA"
"DB00523","RXRA"
"DB00145","GLRA3"
"DB00431","GLRA3"
"DB00466","GLRA3"
"DB06744","GLRA3"
"DB01159","KCNN4"
"DB00468","KCNN4"
"DB01110","KCNN4"
"DB00257","KCNN4"
"DB00454","GRIN2B"
"DB00142","GRIN2B"
"DB01520","GRIN2B"
"DB00502","GRIN2B"
"DB00949","GRIN2B"
"DB01043","GRIN2B"
"DB08954","GRIN2B"
"DB01065","CALM1"
"DB00622","CALM1"
"DB02868","CALM1"
"DB01429","CALM1"
"DB01100","CALM1"
"DB00831","CALM1"
"DB01069","CALM1"
"DB04841","CALM1"
"DB00623","CALM1"
"DB03977","CALM1"
"DB08231","CALM1"
"DB00477","CALM1"
"DB04513","CALM1"
"DB08039","CALM1"
"DB01115","CALM1"
"DB01023","CALM1"
"DB00836","CALM1"
"DB01373","CALM1"
"DB00753","CALM1"
"DB00850","CALM1"
"DB00527","CALM1"
"DB01244","CALM1"
"DB04825","CALM1"
"DB03900","CALM1"
"DB00925","CALM1"
"DB01452","OPRD1"
"DB00318","OPRD1"
"DB01444","OPRD1"
"DB01535","OPRD1"
"DB01548","OPRD1"
"DB01462","OPRD1"
"DB05508","OPRD1"
"DB01100","OPRD1"
"DB01565","OPRD1"
"DB04841","OPRD1"
"DB06800","OPRD1"
"DB01192","OPRD1"
"DB01571","OPRD1"
"DB01183","OPRD1"
"DB00321","OPRD1"
"DB00497","OPRD1"
"DB00813","OPRD1"
"DB06274","OPRD1"
"DB00327","OPRD1"
"DB05302","OPRD1"
"DB01497","OPRD1"
"DB00708","OPRD1"
"DB00611","OPRD1"
"DB00704","OPRD1"
"DB00333","OPRD1"
"DB00193","OPRD1"
"DB00647","OPRD1"
"DB00956","OPRD1"
"DB00921","OPRD1"
"DB01439","OPRD1"
"DB00844","OPRD1"
"DB00854","OPRD1"
"DB00899","OPRD1"
"DB00652","OPRD1"
"DB00295","OPRD1"
"DB01081","OPRD1"
"DB00836","OPRD1"
"DB00288","ANXA1"
"DB01234","ANXA1"
"DB00741","ANXA1"
"DB02821","OAT"
"DB00114","OAT"
"DB00129","OAT"
"DB02054","OAT"
"DB03162","LDHA"
"DB02701","LDHA"
"DB00157","LDHA"
"DB02483","LDHA"
"DB03940","LDHA"
"DB00131","LDHA"
"DB01907","LDHA"
"DB00392","ACHE"
"DB02673","ACHE"
"DB04021","ACHE"
"DB03128","ACHE"
"DB04617","ACHE"
"DB07555","ACHE"
"DB03283","ACHE"
"DB00201","ACHE"
"DB02404","ACHE"
"DB02825","ACHE"
"DB04615","ACHE"
"DB07701","ACHE"
"DB00762","ACHE"
"DB00325","ACHE"
"DB01928","ACHE"
"DB03740","ACHE"
"DB02845","ACHE"
"DB00382","ACHE"
"DB04864","ACHE"
"DB04614","ACHE"
"DB04115","ACHE"
"DB02226","ACHE"
"DB03814","ACHE"
"DB00483","ACHE"
"DB00843","ACHE"
"DB04616","ACHE"
"DB00989","ACHE"
"DB04114","ACHE"
"DB04859","ACHE"
"DB00122","ACHE"
"DB04892","ACHE"
"DB02166","ACHE"
"DB00981","ACHE"
"DB02343","ACHE"
"DB07846","ACHE"
"DB00545","ACHE"
"DB03005","ACHE"
"DB01364","ACHE"
"DB08615","ACHE"
"DB08357","ACHE"
"DB01688","ACHE"
"DB03029","ACHE"
"DB01199","ACHE"
"DB04556","ACHE"
"DB00472","ACHE"
"DB01010","ACHE"
"DB00674","ACHE"
"DB07756","ACHE"
"DB03359","ACHE"
"DB01035","ACHE"
"DB00733","ACHE"
"DB01776","ACHE"
"DB01400","ACHE"
"DB01245","ACHE"
"DB00805","ACHE"
"DB00677","ACHE"
"DB00806","ACHE"
"DB01805","ACHE"
"DB08167","ACHE"
"DB00553","ACHE"
"DB00944","ACHE"
"DB01122","ACHE"
"DB07822","ACHE"
"DB03463","ACHE"
"DB00157","NDUFB2"
"DB07107","AKT1"
"DB08846","AKT1"
"DB08150","AKT1"
"DB08073","AKT1"
"DB08568","AKT1"
"DB08569","AKT1"
"DB01863","AKT1"
"DB07584","AKT1"
"DB07585","AKT1"
"DB07995","AKT1"
"DB00171","AKT1"
"DB04216","AKT1"
"DB07235","AKT1"
"DB01169","AKT1"
"DB00817","CUL9"
"DB01405","CUL9"
"DB01208","CUL9"
"DB00365","CUL9"
"DB00978","CUL9"
"DB04576","CUL9"
"DB00537","CUL9"
"DB00467","CUL9"
"DB00685","CUL9"
"DB01155","CUL9"
"DB01165","CUL9"
"DB01059","CUL9"
"DB00487","CUL9"
"DB01137","CUL9"
"DB00218","CUL9"
"DB01044","CUL9"
"DB01054","CACNA1C"
"DB00653","CACNA1C"
"DB01115","CACNA1C"
"DB00661","CACNA1C"
"DB00622","CACNA1C"
"DB00308","CACNA1C"
"DB00270","CACNA1C"
"DB00568","CACNA1C"
"DB01023","CACNA1C"
"DB01373","CACNA1C"
"DB00393","CACNA1C"
"DB06712","CACNA1C"
"DB00401","CACNA1C"
"DB00381","CACNA1C"
"DB01388","CACNA1C"
"DB06751","CACNA1C"
"DB01278","CALCR"
"DB00017","CALCR"
"DB01115","GLRA1"
"DB06744","GLRA1"
"DB00753","GLRA1"
"DB06743","GLRA1"
"DB00431","GLRA1"
"DB01159","GLRA1"
"DB01236","GLRA1"
"DB01381","GLRA1"
"DB03929","GLRA1"
"DB00898","GLRA1"
"DB00145","GLRA1"
"DB01189","GLRA1"
"DB01028","GLRA1"
"DB00228","GLRA1"
"DB00171","ARAF"
"DB00530","ABL2"
"DB05294","ABL2"
"DB03044","ABL2"
"DB00398","ABL2"
"DB02567","ABL2"
"DB00171","ABL2"
"DB08865","ABL2"
"DB06999","ABL2"
"DB00619","ABL2"
"DB04849","ABL2"
"DB03921","ABL2"
"DB07664","ABL2"
"DB05424","ABL2"
"DB07138","ABL2"
"DB00317","ABL2"
"DB04868","ABL2"
"DB06616","ABL2"
"DB01254","ABL2"
"DB01268","ABL2"
"DB07159","ABL2"
"DB00235","PDE3A"
"DB01223","PDE3A"
"DB01166","PDE3A"
"DB00277","PDE3A"
"DB00261","PDE3A"
"DB02918","PDE3A"
"DB00922","PDE3A"
"DB04880","PDE3A"
"DB01303","PDE3A"
"DB01113","PDE3A"
"DB05266","PDE3A"
"DB08811","PDE3A"
"DB01427","PDE3A"
"DB00171","CDK15"
"DB03496","CDK15"
"DB08094","CDK15"
"DB08142","CDK15"
"DB06616","CDK15"
"DB08568","CDK15"
"DB00157","AKR1C4"
"DB00054","ITGA2B"
"DB00775","ITGA2B"
"DB00133","SPTLC1"
"DB00114","SPTLC1"
"DB00885","HRH1"
"DB00579","HRH1"
"DB01071","HRH1"
"DB08800","HRH1"
"DB00972","HRH1"
"DB00768","HRH1"
"DB00656","HRH1"
"DB01069","HRH1"
"DB01620","HRH1"
"DB06216","HRH1"
"DB00797","HRH1"
"DB04841","HRH1"
"DB08799","HRH1"
"DB00246","HRH1"
"DB00719","HRH1"
"DB00667","HRH1"
"DB04829","HRH1"
"DB00950","HRH1"
"DB00985","HRH1"
"DB06698","HRH1"
"DB06766","HRH1"
"DB01075","HRH1"
"DB00557","HRH1"
"DB00967","HRH1"
"DB06684","HRH1"
"DB00920","HRH1"
"DB01267","HRH1"
"DB01615","HRH1"
"DB00836","HRH1"
"DB00245","HRH1"
"DB00902","HRH1"
"DB00835","HRH1"
"DB00623","HRH1"
"DB00767","HRH1"
"DB00455","HRH1"
"DB05891","HRH1"
"DB01454","HRH1"
"DB00934","HRH1"
"DB01403","HRH1"
"DB00726","HRH1"
"DB01176","HRH1"
"DB01619","HRH1"
"DB04890","HRH1"
"DB01149","HRH1"
"DB00792","HRH1"
"DB00408","HRH1"
"DB00502","HRH1"
"DB00476","HRH1"
"DB00420","HRH1"
"DB00692","HRH1"
"DB06144","HRH1"
"DB00637","HRH1"
"DB01623","HRH1"
"DB00568","HRH1"
"DB05738","HRH1"
"DB06691","HRH1"
"DB06148","HRH1"
"DB00737","HRH1"
"DB00472","HRH1"
"DB00933","HRH1"
"DB00363","HRH1"
"DB00433","HRH1"
"DB00777","HRH1"
"DB08954","HRH1"
"DB00679","HRH1"
"DB04837","HRH1"
"DB01114","HRH1"
"DB04946","HRH1"
"DB01146","HRH1"
"DB00748","HRH1"
"DB01084","HRH1"
"DB08801","HRH1"
"DB00751","HRH1"
"DB01246","HRH1"
"DB04842","HRH1"
"DB00334","HRH1"
"DB08802","HRH1"
"DB01618","HRH1"
"DB01173","HRH1"
"DB00283","HRH1"
"DB00405","HRH1"
"DB01239","HRH1"
"DB00458","HRH1"
"DB00734","HRH1"
"DB01151","HRH1"
"DB00215","HRH1"
"DB01237","HRH1"
"DB00540","HRH1"
"DB00341","HRH1"
"DB00321","HRH1"
"DB00342","HRH1"
"DB05381","HRH1"
"DB00427","HRH1"
"DB00366","HRH1"
"DB00434","HRH1"
"DB00831","HRH1"
"DB01142","HRH1"
"DB01106","HRH1"
"DB00354","HRH1"
"DB00477","HRH1"
"DB04821","HRH1"
"DB01224","HRH1"
"DB00850","HRH1"
"DB01175","HRH1"
"DB01238","HRH1"
"DB01100","HRH1"
"DB00370","HRH1"
"DB07916","CASP1"
"DB01017","CASP1"
"DB07733","CASP1"
"DB07744","CASP1"
"DB04875","CASP1"
"DB00121","MCCC1"
"DB00157","ALDH3B1"
"DB00125","AZIN2"
"DB00114","AZIN2"
"DB00149","LCMT1"
"DB00777","HTR2A"
"DB00920","HTR2A"
"DB01484","HTR2A"
"DB00623","HTR2A"
"DB00933","HTR2A"
"DB00726","HTR2A"
"DB01465","HTR2A"
"DB01186","HTR2A"
"DB06594","HTR2A"
"DB00696","HTR2A"
"DB00589","HTR2A"
"DB00604","HTR2A"
"DB00714","HTR2A"
"DB00734","HTR2A"
"DB00715","HTR2A"
"DB01142","HTR2A"
"DB00669","HTR2A"
"DB01149","HTR2A"
"DB01079","HTR2A"
"DB00476","HTR2A"
"DB00805","HTR2A"
"DB01516","HTR2A"
"DB00502","HTR2A"
"DB00679","HTR2A"
"DB01623","HTR2A"
"DB04908","HTR2A"
"DB00490","HTR2A"
"DB00751","HTR2A"
"DB08653","HTR2A"
"DB00935","HTR2A"
"DB01445","HTR2A"
"DB00924","HTR2A"
"DB05316","HTR2A"
"DB06288","HTR2A"
"DB01442","HTR2A"
"DB00574","HTR2A"
"DB00656","HTR2A"
"DB04599","HTR2A"
"DB01621","HTR2A"
"DB00540","HTR2A"
"DB00543","HTR2A"
"DB06144","HTR2A"
"DB00285","HTR2A"
"DB04842","HTR2A"
"DB01151","HTR2A"
"DB01392","HTR2A"
"DB01528","HTR2A"
"DB01454","HTR2A"
"DB00953","HTR2A"
"DB01622","HTR2A"
"DB00247","HTR2A"
"DB01618","HTR2A"
"DB01488","HTR2A"
"DB01614","HTR2A"
"DB08810","HTR2A"
"DB06148","HTR2A"
"DB01069","HTR2A"
"DB01446","HTR2A"
"DB00363","HTR2A"
"DB00321","HTR2A"
"DB06731","HTR2A"
"DB01267","HTR2A"
"DB01287","HTR2A"
"DB00571","HTR2A"
"DB00831","HTR2A"
"DB00843","HTR2A"
"DB01200","HTR2A"
"DB00875","HTR2A"
"DB06216","HTR2A"
"DB01224","HTR2A"
"DB01242","HTR2A"
"DB00334","HTR2A"
"DB04946","HTR2A"
"DB01239","HTR2A"
"DB00850","HTR2A"
"DB09000","HTR2A"
"DB00960","HTR2A"
"DB04829","HTR2A"
"DB00398","HTR2A"
"DB00420","HTR2A"
"DB00370","HTR2A"
"DB01403","HTR2A"
"DB01238","HTR2A"
"DB01624","HTR2A"
"DB00268","HTR2A"
"DB00472","HTR2A"
"DB00458","HTR2A"
"DB01100","HTR2A"
"DB00409","HTR2A"
"DB00246","HTR2A"
"DB00434","HTR2A"
"DB00477","HTR2A"
"DB00248","HTR2A"
"DB00413","HTR2A"
"DB00408","HTR2A"
"DB00104","SSTR1"
"DB08351","KIT"
"DB06589","KIT"
"DB03431","KIT"
"DB07326","KIT"
"DB07528","KIT"
"DB05294","KIT"
"DB00530","KIT"
"DB05424","KIT"
"DB00619","KIT"
"DB01254","KIT"
"DB01268","KIT"
"DB05465","KIT"
"DB06616","KIT"
"DB00317","KIT"
"DB08877","KIT"
"DB07514","KIT"
"DB03044","KIT"
"DB08865","KIT"
"DB08901","KIT"
"DB04879","KIT"
"DB08339","KIT"
"DB07159","KIT"
"DB03496","KIT"
"DB00398","KIT"
"DB06999","KIT"
"DB02567","KIT"
"DB07288","KIT"
"DB04868","KIT"
"DB07307","KIT"
"DB08009","KIT"
"DB01962","KIT"
"DB04849","KIT"
"DB07235","KIT"
"DB08568","KIT"
"DB06896","KIT"
"DB00145","GRIN2C"
"DB01520","GRIN2C"
"DB00454","GRIN2C"
"DB00142","GRIN2C"
"DB00200","MMAB"
"DB01143","ENPP1"
"DB00811","ENPP1"
"DB00171","ACVRL1"
"DB03496","ACVRL1"
"DB08597","ACVRL1"
"DB02567","ACVRL1"
"DB00669","HTR1F"
"DB00315","HTR1F"
"DB08653","HTR1F"
"DB01224","HTR1F"
"DB00953","HTR1F"
"DB01392","HTR1F"
"DB00216","HTR1F"
"DB06148","HTR1F"
"DB00353","HTR1F"
"DB06144","HTR1F"
"DB00696","HTR1F"
"DB00502","HTR1F"
"DB00476","HTR1F"
"DB00952","HTR1F"
"DB00734","HTR1F"
"DB00308","KCNH6"
"DB01110","KCNH6"
"DB00457","KCNH6"
"DB00590","KCNH6"
"DB01162","KCNH6"
"DB00188","PSMD1"
"DB01106","NTSR2"
"DB04312","ADH1C"
"DB02757","ADH1C"
"DB00157","ADH1C"
"DB03559","ADH1C"
"DB02659","ADH1C"
"DB02822","ADH1C"
"DB04071","ADH1C"
"DB02249","ADH1C"
"DB00898","ADH1C"
"DB02721","ADH1C"
"DB01711","ADH1C"
"DB02131","ADH1C"
"DB04113","ADH1C"
"DB04448","ADH1C"
"DB03020","ADH1C"
"DB03061","ADH1C"
"DB01907","ADH1C"
"DB01213","ADH1C"
"DB02871","ADH1C"
"DB00033","IFNGR2"
"DB01182","ABCC9"
"DB01016","ABCC9"
"DB00171","ABCC9"
"DB00188","PSMD2"
"DB02530","GABRA5"
"DB01595","GABRA5"
"DB01559","GABRA5"
"DB01205","GABRA5"
"DB01483","GABRA5"
"DB01567","GABRA5"
"DB00189","GABRA5"
"DB01215","GABRA5"
"DB01558","GABRA5"
"DB01589","GABRA5"
"DB01352","GABRA5"
"DB01588","GABRA5"
"DB00186","GABRA5"
"DB00829","GABRA5"
"DB01544","GABRA5"
"DB00897","GABRA5"
"DB01594","GABRA5"
"DB00463","GABRA5"
"DB01353","GABRA5"
"DB01351","GABRA5"
"DB00306","GABRA5"
"DB01355","GABRA5"
"DB00402","GABRA5"
"DB00418","GABRA5"
"DB01068","GABRA5"
"DB00546","GABRA5"
"DB00371","GABRA5"
"DB01198","GABRA5"
"DB00628","GABRA5"
"DB06554","GABRA5"
"DB00241","GABRA5"
"DB00842","GABRA5"
"DB00237","GABRA5"
"DB00349","GABRA5"
"DB00801","GABRA5"
"DB00849","GABRA5"
"DB01174","GABRA5"
"DB01496","GABRA5"
"DB00475","GABRA5"
"DB00599","GABRA5"
"DB00231","GABRA5"
"DB00794","GABRA5"
"DB00312","GABRA5"
"DB00683","GABRA5"
"DB01354","GABRA5"
"DB00690","GABRA5"
"DB00404","GABRA5"
"DB00157","NDUFA5"
"DB01240","PTGIR"
"DB01160","PTGIR"
"DB00374","PTGIR"
"DB00917","PTGIR"
"DB01088","PTGIR"
"DB01484","HTR1E"
"DB00696","HTR1E"
"DB06216","HTR1E"
"DB01392","HTR1E"
"DB00502","HTR1E"
"DB00216","HTR1E"
"DB00734","HTR1E"
"DB04829","HTR1E"
"DB00246","HTR1E"
"DB01267","HTR1E"
"DB00353","HTR1E"
"DB01224","HTR1E"
"DB06144","HTR1E"
"DB00476","HTR1E"
"DB00669","HTR1E"
"DB00363","HTR1E"
"DB01446","HTR1E"
"DB00935","HTR1E"
"DB08653","HTR1E"
"DB04842","HTR1E"
"DB00334","HTR1E"
"DB01238","HTR1E"
"DB00231","GABRA4"
"DB00463","GABRA4"
"DB00312","GABRA4"
"DB01174","GABRA4"
"DB00475","GABRA4"
"DB01353","GABRA4"
"DB00371","GABRA4"
"DB01558","GABRA4"
"DB00241","GABRA4"
"DB00349","GABRA4"
"DB01352","GABRA4"
"DB00683","GABRA4"
"DB00842","GABRA4"
"DB00186","GABRA4"
"DB01595","GABRA4"
"DB00418","GABRA4"
"DB01205","GABRA4"
"DB00404","GABRA4"
"DB01068","GABRA4"
"DB00189","GABRA4"
"DB01351","GABRA4"
"DB00690","GABRA4"
"DB00628","GABRA4"
"DB00794","GABRA4"
"DB01483","GABRA4"
"DB00849","GABRA4"
"DB00237","GABRA4"
"DB01355","GABRA4"
"DB00306","GABRA4"
"DB00599","GABRA4"
"DB00402","GABRA4"
"DB01354","GABRA4"
"DB01544","GABRA4"
"DB00897","GABRA4"
"DB01496","GABRA4"
"DB00157","ALDH1B1"
"DB00128","ACY1"
"DB00114","THNSL1"
"DB00156","THNSL1"
"DB00568","CACNA1G"
"DB00661","CACNA1G"
"DB01100","CACNA1G"
"DB00347","CACNA1G"
"DB01388","CACNA1G"
"DB00593","CACNA1G"
"DB05246","CACNA1G"
"DB00909","CACNA1G"
"DB04841","CACNA1G"
"DB01189","ATP5F1D"
"DB01159","ATP5F1D"
"DB00228","ATP5F1D"
"DB01028","ATP5F1D"
"DB01236","ATP5F1D"
"DB00753","ATP5F1D"
"DB00157","NDUFV1"
"DB00806","PDE4B"
"DB00131","PDE4B"
"DB03807","PDE4B"
"DB00277","PDE4B"
"DB01088","PDE4B"
"DB01427","PDE4B"
"DB01791","PDE4B"
"DB01954","PDE4B"
"DB00651","PDE4B"
"DB03349","PDE4B"
"DB01959","PDE4B"
"DB00201","PDE4B"
"DB00824","PDE4B"
"DB01647","PDE4B"
"DB02660","PDE4B"
"DB01412","PDE4B"
"DB04149","PDE4B"
"DB04530","PDE4B"
"DB06909","PDE4B"
"DB05266","PDE4B"
"DB03606","PDE4B"
"DB01113","PDE4B"
"DB08299","PDE4B"
"DB03849","PDE4B"
"DB00920","PDE4B"
"DB01656","PDE4B"
"DB00808","KCNE1"
"DB00167","IARS1"
"DB00121","PCCA"
"DB00157","NDUFS1"
"DB00122","PCYT1B"
"DB00594","SCNN1D"
"DB00384","SCNN1D"
"DB01992","CRAT"
"DB00583","CRAT"
"DB02648","CRAT"
"DB00594","SCNN1G"
"DB00384","SCNN1G"
"DB00707","LDLR"
"DB02944","LDLR"
"DB00157","NDUFS4"
"DB00298","ADRA1A"
"DB00875","ADRA1A"
"DB00457","ADRA1A"
"DB00388","ADRA1A"
"DB00458","ADRA1A"
"DB00246","ADRA1A"
"DB01618","ADRA1A"
"DB01364","ADRA1A"
"DB01238","ADRA1A"
"DB01287","ADRA1A"
"DB00449","ADRA1A"
"DB01267","ADRA1A"
"DB00420","ADRA1A"
"DB00370","ADRA1A"
"DB01295","ADRA1A"
"DB00865","ADRA1A"
"DB01365","ADRA1A"
"DB06148","ADRA1A"
"DB00321","ADRA1A"
"DB00925","ADRA1A"
"DB00450","ADRA1A"
"DB00598","ADRA1A"
"DB06694","ADRA1A"
"DB00381","ADRA1A"
"DB00397","ADRA1A"
"DB00346","ADRA1A"
"DB01142","ADRA1A"
"DB01186","ADRA1A"
"DB01224","ADRA1A"
"DB00334","ADRA1A"
"DB00363","ADRA1A"
"DB00852","ADRA1A"
"DB01175","ADRA1A"
"DB01069","ADRA1A"
"DB06711","ADRA1A"
"DB01622","ADRA1A"
"DB06707","ADRA1A"
"DB00726","ADRA1A"
"DB00934","ADRA1A"
"DB01576","ADRA1A"
"DB00368","ADRA1A"
"DB01253","ADRA1A"
"DB00797","ADRA1A"
"DB00575","ADRA1A"
"DB01392","ADRA1A"
"DB01049","ADRA1A"
"DB06207","ADRA1A"
"DB00723","ADRA1A"
"DB00543","ADRA1A"
"DB06144","ADRA1A"
"DB00502","ADRA1A"
"DB06262","ADRA1A"
"DB01403","ADRA1A"
"DB00408","ADRA1A"
"DB01242","ADRA1A"
"DB01200","ADRA1A"
"DB01151","ADRA1A"
"DB01162","ADRA1A"
"DB00622","ADRA1A"
"DB00656","ADRA1A"
"DB00668","ADRA1A"
"DB06706","ADRA1A"
"DB01624","ADRA1A"
"DB00964","ADRA1A"
"DB00935","ADRA1A"
"DB00734","ADRA1A"
"DB00751","ADRA1A"
"DB00472","ADRA1A"
"DB00477","ADRA1A"
"DB01472","ADRA1A"
"DB00692","ADRA1A"
"DB00850","ADRA1A"
"DB01136","ADRA1A"
"DB00699","ADRA1A"
"DB00831","ADRA1A"
"DB00696","ADRA1A"
"DB00679","ADRA1A"
"DB00777","ADRA1A"
"DB00540","ADRA1A"
"DB01149","ADRA1A"
"DB00610","ADRA1A"
"DB01579","ADRA1A"
"DB00706","ADRA1A"
"DB01614","ADRA1A"
"DB01100","ADRA1A"
"DB00590","ADRA1A"
