"drug","gene"
"DB01608","DRD1"
"DB01403","DRD1"
"DB00434","DRD1"
"DB00370","DRD1"
"DB00321","DRD1"
"DB00777","DRD1"
"DB01200","DRD1"
"DB00543","DRD1"
"DB00800","DRD1"
"DB01267","DRD1"
"DB00988","DRD1"
"DB00353","DRD1"
"DB00420","DRD1"
"DB01621","DRD1"
"DB01614","DRD1"
"DB04946","DRD1"
"DB00363","DRD1"
"DB05271","DRD1"
"DB00726","DRD1"
"DB01624","DRD1"
"DB00805","DRD1"
"DB01239","DRD1"
"DB01235","DRD1"
"DB01287","DRD1"
"DB00246","DRD1"
"DB01186","DRD1"
"DB00934","DRD1"
"DB09000","DRD1"
"DB02256","TYMS"
"DB01101","TYMS"
"DB02467","TYMS"
"DB02899","TYMS"
"DB00440","TYMS"
"DB02223","TYMS"
"DB00544","TYMS"
"DB06860","TYMS"
"DB03798","TYMS"
"DB00563","TYMS"
"DB02301","TYMS"
"DB00432","TYMS"
"DB03038","TYMS"
"DB04696","TYMS"
"DB03157","TYMS"
"DB01643","TYMS"
"DB01099","TYMS"
"DB04457","TYMS"
"DB03818","TYMS"
"DB00650","TYMS"
"DB04586","TYMS"
"DB04503","TYMS"
"DB02752","TYMS"
"DB08479","TYMS"
"DB00322","TYMS"
"DB08734","TYMS"
"DB04530","TYMS"
"DB03274","TYMS"
"DB03761","TYMS"
"DB00441","TYMS"
"DB02031","TYMS"
"DB08204","TYMS"
"DB07577","TYMS"
"DB04447","TYMS"
"DB03685","TYMS"
"DB00642","TYMS"
"DB08131","TYMS"
"DB04824","TYMS"
"DB07507","TYMS"
"DB00293","TYMS"
"DB08478","TYMS"
"DB03541","TYMS"
"DB03558","TYMS"
"DB07511","TYMS"
"DB08067","FLT4"
"DB04879","FLT4"
"DB04849","FLT4"
"DB05465","FLT4"
"DB07159","FLT4"
"DB04716","FLT4"
"DB02567","FLT4"
"DB01268","FLT4"
"DB03044","FLT4"
"DB05294","FLT4"
"DB08846","FLT4"
"DB00398","FLT4"
"DB06589","FLT4"
"DB00594","SCNN1B"
"DB00384","SCNN1B"
"DB00048","COL1A1"
"DB01229","TUBB1"
"DB01873","TUBB1"
"DB00309","TUBB1"
"DB01248","TUBB1"
"DB03010","TUBB1"
"DB01394","TUBB1"
"DB06772","TUBB1"
"DB00157","NDUFV3"
"DB00120","FARS2"
"DB07959","FLT1"
"DB04879","FLT1"
"DB03044","FLT1"
"DB04849","FLT1"
"DB02567","FLT1"
"DB03365","FLT1"
"DB06999","FLT1"
"DB08865","FLT1"
"DB07159","FLT1"
"DB01268","FLT1"
"DB04186","FLT1"
"DB08597","FLT1"
"DB05294","FLT1"
"DB08067","FLT1"
"DB07288","FLT1"
